dis_detail_id,Latitude,Longitude,Sample Date,nir,green,swir16,swir22,red,blue,NDVI,NDWI,MNDWI,NDMI,Turbidity
0,-28.760833,17.730278,02-01-2011,11190.0,11500.0,7638.0,7645.0,12802.0,9593.0,-0.0671890630210067,0.01366240634640805,0.20179747100010348,0.18865519439133108,1.3345147503387749
1,-26.861111,28.884722,03-01-2011,17864.0,9620.0,13916.0,10879.5,9304.5,8692.0,0.315052358429798,-0.29995633823315276,-0.18252889191026436,0.12422907488986745,1.0704670961803835
2,-26.45,28.085833,03-01-2011,15210.5,10610.0,17909.5,14134.0,12540.0,9502.5,0.0962325003153092,-0.17817238240932526,-0.2559476849173364,-0.08149154589371956,1.3196527229676265
3,-27.671111,27.236944,03-01-2011,15423.0,11010.5,13797.5,11795.0,11624.5,9758.5,0.1404381181255194,-0.16692832958178008,-0.11234279264753261,0.055628753785869324,1.1912179125890128
4,-27.356667,27.286389,03-01-2011,16487.0,9363.0,12018.0,9248.0,9120.0,8714.5,0.2876947709610642,-0.27558994197291964,-0.1241756699873714,0.15677951236625098,1.0465316426645126
5,-27.01011111,26.69808333,04-01-2011,11884.5,10504.0,8928.5,8266.5,10728.5,9412.5,0.0511210365718832,-0.06166112066462666,0.08107551781808785,0.14202661797914698,1.1398140770252203
6,-25.127778,27.628889,04-01-2011,8153.5,5285.0,7924.0,5974.5,5247.5,5029.0,0.2168494888441144,-0.21345388250176572,-0.19978802331743356,0.014274607370548816,1.0434480015907528
7,-25.20639,27.558,04-01-2011,14578.5,10716.0,10909.5,9248.5,10416.5,10184.0,0.1665133026605314,-0.15270118009843978,-0.00894776999375733,0.143950094161958,1.022829929300854
8,-24.69514,27.40906,04-01-2011,15802.0,10738.0,11870.0,9441.0,10400.0,9752.0,0.2061674681322028,-0.19080633006782144,-0.05007077140835081,0.14209309048858002,1.0664479081214
9,-26.98472222,26.63227778,04-01-2011,13683.0,10207.0,14011.5,11585.0,10148.5,9416.5,0.1483121079243851,-0.14550020929259044,-0.15709065383900672,-0.01186156095975731,1.0777358891307696
10,-28.141944,26.417778,04-01-2011,14391.0,9699.0,13472.0,11065.0,9679.0,9086.0,0.1957623597839626,-0.19476961394769535,-0.16283285140908826,0.032982808742777044,1.0652652432313332
11,-27.398611,26.614722,04-01-2011,16073.5,9888.0,12823.0,10403.5,9602.0,9251.0,0.2520496192868678,-0.23825664926910914,-0.1292325304918316,0.1124876715173114,1.0379418441249482
12,-33.501667,21.624167,04-01-2011,,,,,,,,,,,
13,-32.502778,19.535833,04-01-2011,17155.5,12813.5,19379.0,16705.0,14377.0,10543.5,0.0881154364544514,-0.14488304581400732,-0.2039450182495917,-0.06086028274644497,1.3635889410537168
14,-25.45963889,28.26430556,04-01-2011,13758.0,10141.0,14462.0,12486.5,11143.5,9140.0,0.104993675079814,-0.15134524457090193,-0.1756289883347552,-0.024946846208362777,1.2192013129102712
15,-27.495556,26.074722,04-01-2011,18008.0,11044.0,17434.0,13950.0,11481.0,9454.0,0.2213367696429169,-0.23970810959658462,-0.22438373481283722,0.016195474296032908,1.2144066003807783
16,-26.648056,27.089444,05-01-2011,19992.0,9598.0,13046.5,9580.0,8963.5,8573.0,0.3808775534872464,-0.35126732004055305,-0.1522886352094321,0.21022443512871283,1.0455499825031955
17,-26.970278,27.211111,05-01-2011,10080.0,11040.0,7807.5,7735.0,11496.0,9772.0,-0.065628476084538,0.04545454545454524,0.17150815758058008,0.127044025157232,1.176422431436746
18,-27.38972222,26.46388889,05-01-2011,11765.0,11962.5,8773.0,8332.0,12514.0,10417.0,-0.0308497055068164,0.008323675060583676,0.15381833088182031,0.1456811763560223,1.2013055582221253
19,-27.044444,27.005,05-01-2011,17146.5,9908.0,14033.0,10115.0,9561.0,8883.0,0.2840213423195721,-0.26755253285035663,-0.17229856731130624,0.09985727801921103,1.0763255656872557
20,-30.830556,26.921389,06-01-2011,,,,,,,,,,,
21,-27.00222,28.76528,06-01-2011,11704.5,9883.0,10504.0,9608.5,10259.5,8984.5,0.0657894736842102,-0.08437753329473037,-0.03046058762937151,0.05405587950559446,1.1419110690633745
22,-27.02314,28.59389,06-01-2011,11340.0,9893.0,11208.0,9853.0,10060.0,8858.0,0.0598130841121492,-0.06814863655630356,-0.062319321359177,0.005854177754124509,1.1356965454955843
23,-30.679722,26.7125,06-01-2011,13331.5,10548.0,7805.5,7659.0,11999.0,9328.0,0.0526045676161147,-0.11656441717791363,0.14942653989702157,0.261437290060083,1.286342195540295
24,-30.160091,27.40124,06-01-2011,13349.0,10228.5,10667.0,9421.5,11075.0,9154.5,0.0931051424828034,-0.1323507581380548,-0.02098537962719236,0.11167554963357716,1.209787536184377
25,-32.595833,19.009444,06-01-2011,15433.0,10038.0,14735.0,11928.0,10425.0,9119.0,0.1936731379070299,-0.2118095088532048,-0.18960158236789978,0.02313709891275516,1.1432174580545986
