dis_detail_id,pet,pr,tmax
0,236.3,8.3,35.76
1,134.3,175.0,25.41
2,141.5,156.10000000000002,26.07
3,152.40001,194.7,27.599998
4,151.90001,180.4,27.21
5,155.7,168.5,27.849998
6,158.2,107.4,30.33
7,,,
8,,,
9,155.2,170.3,28.01
10,157.0,187.0,28.17
11,160.7,173.20000000000002,28.359999
12,185.90001,15.7,29.51
13,229.6,4.0,34.01
14,149.5,122.4,28.779999
15,163.8,162.8,28.59
16,148.2,156.60000000000002,26.83
17,149.3,169.5,27.0
18,162.2,170.20000000000002,28.48
19,151.7,172.0,27.4
20,152.0,138.0,28.33
21,134.7,179.4,25.63
22,136.90001,179.20000000000002,25.96
23,155.6,135.3,29.42
24,141.1,207.0,27.47
25,231.1,4.5,33.85
26,144.7,160.3,26.599998
27,144.5,166.60000000000002,26.349998
28,141.5,156.10000000000002,26.07
29,125.1,211.9,25.9
30,151.90001,180.4,27.21
31,155.7,168.5,27.849998
32,146.6,150.70000000000002,27.58
33,155.2,170.3,28.01
34,160.7,173.20000000000002,28.359999
35,152.40001,194.7,27.599998
36,155.90001,195.5,28.75
37,178.5,13.7,29.32
38,149.5,122.4,28.779999
39,147.5,149.4,27.599998
40,136.3,192.7,25.869999
41,134.90001,202.5,25.769999
42,132.6,268.2,25.83
43,134.7,179.4,25.63
44,136.90001,179.20000000000002,25.96
45,178.90001,94.7,30.599998
46,217.3,74.9,35.149998
47,157.7,146.9,28.89
48,236.3,8.3,35.76
49,124.700005,144.4,27.81
50,134.3,175.0,25.41
51,114.700005,188.2,24.93
52,128.90001,295.0,26.0
53,158.2,107.4,30.33
54,,,
55,,,
56,124.0,123.7,30.07
57,129.7,222.8,25.24
58,160.7,173.20000000000002,28.359999
59,121.5,200.4,25.68
60,122.8,187.3,26.18
61,207.6,9.3,29.72
62,219.90001,7.5,32.1
63,163.8,162.8,28.59
64,155.7,99.4,30.91
65,149.3,169.5,27.0
66,149.90001,165.5,27.33
67,136.3,192.7,25.869999
68,135.40001,194.6,25.779999
69,151.7,172.0,27.4
70,120.3,251.4,24.46
71,121.0,262.90000000000003,24.21
72,154.8,20.200000000000003,26.75
73,214.1,6.4,32.66
74,216.3,9.4,31.32
75,,,
76,132.5,150.6,25.529999
77,136.90001,179.20000000000002,25.96
78,155.6,135.3,29.42
79,217.3,74.9,35.149998
80,125.6,222.3,25.8
81,150.6,86.9,30.34
82,217.3,74.9,35.149998
83,119.9,172.8,25.289999
84,144.7,160.3,26.599998
85,125.6,143.4,26.73
86,149.3,169.5,27.0
87,152.40001,194.7,27.599998
88,151.90001,180.4,27.21
89,155.7,168.5,27.849998
90,155.2,170.3,28.01
91,160.7,173.20000000000002,28.359999
92,210.1,9.9,31.189999
93,149.5,122.4,28.779999
94,196.5,10.0,31.349998
95,147.5,149.4,27.599998
96,191.3,10.7,31.349998
97,130.7,97.7,31.23
98,148.2,156.60000000000002,26.83
99,149.90001,165.5,27.33
100,136.3,192.7,25.869999
101,151.7,172.0,27.4
102,173.90001,15.1,29.48
103,136.90001,179.20000000000002,25.96
104,144.5,166.60000000000002,26.349998
105,236.3,8.3,35.76
106,134.3,175.0,25.41
107,144.5,166.60000000000002,26.349998
108,146.0,47.7,31.55
109,,,
110,130.6,35.800000000000004,31.56
111,119.4,71.7,26.539999
112,134.90001,105.4,29.24
113,130.5,5.800000000000001,25.91
114,,,
115,143.1,48.900000000000006,30.91
116,130.3,82.0,30.23
117,124.0,58.6,27.18
118,125.3,59.0,27.55
119,124.200005,62.3,27.359999
120,132.2,98.7,29.48
121,170.8,138.5,34.46
122,170.8,138.5,34.46
123,126.5,98.0,29.619999
124,130.90001,50.7,28.17
125,143.90001,28.700000000000003,32.13
126,129.40001,60.400000000000006,27.769999
127,118.6,59.7,27.699999
128,132.1,71.9,28.5
129,125.6,70.3,27.689999
130,134.7,84.7,28.93
131,121.700005,55.8,26.23
132,134.8,86.0,29.109999
133,136.2,87.9,29.51
134,149.2,121.4,31.66
135,145.3,10.7,29.529999
136,177.8,3.2,34.18
137,138.6,37.7,30.4
138,131.90001,70.9,28.439999
139,125.200005,63.2,27.59
140,120.0,97.2,26.369999
141,121.9,102.4,26.849998
142,125.3,59.0,27.55
143,132.2,98.7,29.48
144,156.0,96.1,30.779999
145,123.0,11.9,26.949999
146,121.4,12.4,26.74
147,181.90001,1.6,34.1
148,130.3,82.0,30.23
149,137.2,97.2,29.119999
150,131.3,67.7,31.269999
151,174.2,32.7,36.1
152,113.8,123.6,25.06
153,116.0,85.10000000000001,26.8
154,119.8,91.5,27.48
155,124.9,55.1,26.96
156,127.200005,54.3,27.539999
157,120.700005,44.900000000000006,28.119999
158,,,
159,,,
160,126.3,40.5,27.16
161,119.4,71.7,26.539999
162,136.2,87.9,29.51
163,132.3,77.80000000000001,28.66
164,134.90001,105.4,29.24
165,115.3,61.7,26.06
166,114.9,67.8,25.599998
167,164.7,3.9,30.179998
168,176.2,3.1,32.559998
169,137.40001,100.6,29.539999
170,132.7,37.6,31.92
171,152.8,58.2,32.35
172,135.1,39.1,31.26
173,118.4,55.1,27.359999
174,123.6,59.900000000000006,28.539999
175,125.200005,63.2,27.59
176,124.200005,62.3,27.359999
177,132.90001,76.4,28.71
178,118.6,59.7,27.699999
179,119.4,63.3,27.529999
180,175.1,2.2,33.05
181,145.8,30.9,31.679998
182,124.0,58.6,27.18
183,125.3,59.0,27.55
184,,,
185,119.9,96.1,27.88
186,130.90001,50.7,28.17
187,124.9,55.1,26.96
188,129.40001,60.400000000000006,27.769999
189,127.200005,54.3,27.539999
190,134.7,84.7,28.93
191,121.700005,55.8,26.23
192,134.8,86.0,29.109999
193,136.2,87.9,29.51
194,134.90001,105.4,29.24
195,164.3,4.9,31.41
196,135.2,45.400000000000006,29.369999
197,123.0,108.3,28.97
198,148.0,6.6000000000000005,31.42
199,131.3,10.3,28.529999
200,148.1,40.0,31.49
201,124.0,58.6,27.18
202,125.3,59.0,27.55
203,137.3,90.9,29.67
204,136.2,87.9,29.51
205,132.3,77.80000000000001,28.66
206,132.1,71.9,28.5
207,151.1,5.7,31.609999
208,150.8,38.2,31.48
209,158.6,32.0,32.739998
210,129.1,91.3,29.96
211,132.2,98.7,29.48
212,129.2,104.7,28.33
213,127.3,105.4,28.43
214,170.8,138.5,34.46
215,145.3,27.700000000000003,30.46
216,174.2,32.7,36.1
217,139.40001,29.9,31.97
